country,alpha-2,alpha-3,numeric,context,classific_id,classification,percentage,source
Greenland,GL,GRL,304,Rural,12,Dry latrines - Other,0.0,EUROSTAT - ES14
Greenland,GL,GRL,304,Rural,13,Composting toilets,0.0,EUROSTAT - ES14
Greenland,GL,GRL,304,Rural,14,Other improved,0.0,EUROSTAT - ES14
Greenland,GL,GRL,304,Rural,15,"No facility, bush, field",0.0,EUROSTAT - ES14
Greenland,GL,GRL,304,Rural,16,Other unimproved,0.0,EUROSTAT - ES14
Greenland,GL,GRL,304,Rural,17,DK/missing information,0.0,EUROSTAT - ES14
Greenland,GL,GRL,304,National,1,Flush and pour flush - to piped sewer system,0.91,EUROSTAT - ES14
Greenland,GL,GRL,304,National,2,Flush and pour flush - to septic tank,0.09,EUROSTAT - ES14
Greenland,GL,GRL,304,National,3,Flush and pour flush - to pit,0.0,EUROSTAT - ES14
Greenland,GL,GRL,304,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,EUROSTAT - ES14
Greenland,GL,GRL,304,National,5,Flush and pour flush - to elsewhere,0.0,EUROSTAT - ES14
Greenland,GL,GRL,304,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,EUROSTAT - ES14
Greenland,GL,GRL,304,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,EUROSTAT - ES14
Greenland,GL,GRL,304,National,8,Dry latrines - Traditional latrine,0.0,EUROSTAT - ES14
Greenland,GL,GRL,304,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,EUROSTAT - ES14
Greenland,GL,GRL,304,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,EUROSTAT - ES14
Greenland,GL,GRL,304,National,11,Dry latrines - Bucket latrine,0.0,EUROSTAT - ES14
Greenland,GL,GRL,304,National,12,Dry latrines - Other,0.0,EUROSTAT - ES14
Greenland,GL,GRL,304,National,13,Composting toilets,0.0,EUROSTAT - ES14
Greenland,GL,GRL,304,National,14,Other improved,0.0,EUROSTAT - ES14
Greenland,GL,GRL,304,National,15,"No facility, bush, field",0.0,EUROSTAT - ES14
Greenland,GL,GRL,304,National,16,Other unimproved,0.0,EUROSTAT - ES14
Greenland,GL,GRL,304,National,17,DK/missing information,0.0,EUROSTAT - ES14
Greenland,GL,GRL,304,Urban,1,Flush and pour flush - to piped sewer system,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,Urban,2,Flush and pour flush - to septic tank,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,Urban,3,Flush and pour flush - to pit,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,Urban,5,Flush and pour flush - to elsewhere,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,Urban,8,Dry latrines - Traditional latrine,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,Urban,11,Dry latrines - Bucket latrine,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,Urban,12,Dry latrines - Other,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,Urban,13,Composting toilets,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,Urban,14,Other improved,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,Urban,15,"No facility, bush, field",0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,Urban,16,Other unimproved,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,Urban,17,DK/missing information,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,Rural,1,Flush and pour flush - to piped sewer system,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,Rural,2,Flush and pour flush - to septic tank,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,Rural,3,Flush and pour flush - to pit,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,Rural,5,Flush and pour flush - to elsewhere,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,Rural,8,Dry latrines - Traditional latrine,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,Rural,11,Dry latrines - Bucket latrine,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,Rural,12,Dry latrines - Other,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,Rural,13,Composting toilets,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,Rural,14,Other improved,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,Rural,15,"No facility, bush, field",0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,Rural,16,Other unimproved,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,Rural,17,DK/missing information,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,National,1,Flush and pour flush - to piped sewer system,0.897,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,National,2,Flush and pour flush - to septic tank,0.103,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,National,3,Flush and pour flush - to pit,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,National,5,Flush and pour flush - to elsewhere,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,National,8,Dry latrines - Traditional latrine,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,National,11,Dry latrines - Bucket latrine,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,National,12,Dry latrines - Other,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,National,13,Composting toilets,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,National,14,Other improved,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,National,15,"No facility, bush, field",0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,National,16,Other unimproved,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,National,17,DK/missing information,0.0,EUROSTAT ENV DATABASE - ES09
Greenland,GL,GRL,304,Urban,1,Flush and pour flush - to piped sewer system,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,Urban,2,Flush and pour flush - to septic tank,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,Urban,3,Flush and pour flush - to pit,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,Urban,5,Flush and pour flush - to elsewhere,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,Urban,8,Dry latrines - Traditional latrine,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,Urban,11,Dry latrines - Bucket latrine,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,Urban,12,Dry latrines - Other,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,Urban,13,Composting toilets,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,Urban,14,Other improved,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,Urban,15,"No facility, bush, field",0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,Urban,16,Other unimproved,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,Urban,17,DK/missing information,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,Rural,1,Flush and pour flush - to piped sewer system,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,Rural,2,Flush and pour flush - to septic tank,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,Rural,3,Flush and pour flush - to pit,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,Rural,5,Flush and pour flush - to elsewhere,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,Rural,8,Dry latrines - Traditional latrine,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,Rural,11,Dry latrines - Bucket latrine,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,Rural,12,Dry latrines - Other,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,Rural,13,Composting toilets,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,Rural,14,Other improved,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,Rural,15,"No facility, bush, field",0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,Rural,16,Other unimproved,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,Rural,17,DK/missing information,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,National,1,Flush and pour flush - to piped sewer system,0.903,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,National,2,Flush and pour flush - to septic tank,0.097,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,National,3,Flush and pour flush - to pit,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,National,5,Flush and pour flush - to elsewhere,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,National,8,Dry latrines - Traditional latrine,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,National,11,Dry latrines - Bucket latrine,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,National,12,Dry latrines - Other,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,National,13,Composting toilets,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,National,14,Other improved,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,National,15,"No facility, bush, field",0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,National,16,Other unimproved,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,National,17,DK/missing information,0.0,EUROSTAT ENV DATABASE - ES10
Greenland,GL,GRL,304,Urban,1,Flush and pour flush - to piped sewer system,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,Urban,2,Flush and pour flush - to septic tank,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,Urban,3,Flush and pour flush - to pit,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,Urban,5,Flush and pour flush - to elsewhere,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,Urban,8,Dry latrines - Traditional latrine,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,Urban,11,Dry latrines - Bucket latrine,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,Urban,12,Dry latrines - Other,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,Urban,13,Composting toilets,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,Urban,14,Other improved,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,Urban,15,"No facility, bush, field",0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,Urban,16,Other unimproved,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,Urban,17,DK/missing information,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,Rural,1,Flush and pour flush - to piped sewer system,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,Rural,2,Flush and pour flush - to septic tank,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,Rural,3,Flush and pour flush - to pit,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,Rural,5,Flush and pour flush - to elsewhere,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,Rural,8,Dry latrines - Traditional latrine,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,Rural,11,Dry latrines - Bucket latrine,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,Rural,12,Dry latrines - Other,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,Rural,13,Composting toilets,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,Rural,14,Other improved,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,Rural,15,"No facility, bush, field",0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,Rural,16,Other unimproved,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,Rural,17,DK/missing information,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,National,1,Flush and pour flush - to piped sewer system,0.907,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,National,2,Flush and pour flush - to septic tank,0.093,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,National,3,Flush and pour flush - to pit,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,National,5,Flush and pour flush - to elsewhere,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,National,8,Dry latrines - Traditional latrine,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,National,9,Dry latrines - Pit latrine without slab/open pit,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,National,10,Dry latrines - Hanging toilet/hanging latrine,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,National,11,Dry latrines - Bucket latrine,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,National,12,Dry latrines - Other,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,National,13,Composting toilets,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,National,14,Other improved,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,National,15,"No facility, bush, field",0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,National,16,Other unimproved,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,National,17,DK/missing information,0.0,EUROSTAT ENV DATABASE - ES11
Greenland,GL,GRL,304,Urban,1,Flush and pour flush - to piped sewer system,0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,Urban,2,Flush and pour flush - to septic tank,0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,Urban,3,Flush and pour flush - to pit,0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,Urban,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,Urban,5,Flush and pour flush - to elsewhere,0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,Urban,6,Dry latrines - Ventilated Improved Pit latrine,0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,Urban,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,Urban,8,Dry latrines - Traditional latrine,0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,Urban,9,Dry latrines - Pit latrine without slab/open pit,0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,Urban,10,Dry latrines - Hanging toilet/hanging latrine,0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,Urban,11,Dry latrines - Bucket latrine,0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,Urban,12,Dry latrines - Other,0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,Urban,13,Composting toilets,0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,Urban,14,Other improved,0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,Urban,15,"No facility, bush, field",0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,Urban,16,Other unimproved,0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,Urban,17,DK/missing information,0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,Rural,1,Flush and pour flush - to piped sewer system,0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,Rural,2,Flush and pour flush - to septic tank,0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,Rural,3,Flush and pour flush - to pit,0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,Rural,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,Rural,5,Flush and pour flush - to elsewhere,0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,Rural,6,Dry latrines - Ventilated Improved Pit latrine,0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,Rural,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,Rural,8,Dry latrines - Traditional latrine,0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,Rural,9,Dry latrines - Pit latrine without slab/open pit,0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,Rural,10,Dry latrines - Hanging toilet/hanging latrine,0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,Rural,11,Dry latrines - Bucket latrine,0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,Rural,12,Dry latrines - Other,0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,Rural,13,Composting toilets,0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,Rural,14,Other improved,0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,Rural,15,"No facility, bush, field",0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,Rural,16,Other unimproved,0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,Rural,17,DK/missing information,0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,National,1,Flush and pour flush - to piped sewer system,0.907,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,National,2,Flush and pour flush - to septic tank,0.093,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,National,3,Flush and pour flush - to pit,0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,National,4,Flush and pour flush - to unknown place/ not sure/DK,0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,National,5,Flush and pour flush - to elsewhere,0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,National,6,Dry latrines - Ventilated Improved Pit latrine,0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,National,7,Dry latrines - Pit latrine with slab/covered latrine,0.0,EUROSTAT ENV DATABASE - ES12
Greenland,GL,GRL,304,National,8,Dry latrines - Traditional latrine,0.0,EUROSTAT ENV DATABASE - ES12
